epoch,open,high,low,close
1781049600,1.15353,1.15436,1.15334,1.15424
1781053200,1.15426,1.1543,1.15354,1.15378
1781056800,1.1538,1.1545,1.15369,1.15426
1781060400,1.15426,1.15522,1.15424,1.15504
1781064000,1.15504,1.15507,1.15445,1.15464
1781067600,1.15464,1.15556,1.15454,1.15544
1781071200,1.15546,1.15582,1.15484,1.15488
1781074800,1.15488,1.15588,1.15467,1.15538
1781078400,1.1554,1.15542,1.15481,1.15536
1781082000,1.15538,1.15597,1.15507,1.15579
1781085600,1.1558,1.15594,1.15504,1.1552
1781089200,1.15524,1.15526,1.15357,1.15366
1781092800,1.15368,1.15649,1.1536,1.15486
1781096400,1.15485,1.15731,1.15475,1.15626
1781100000,1.15626,1.15672,1.15501,1.15522
1781103600,1.15524,1.15569,1.15344,1.15494
1781107200,1.15494,1.15595,1.15486,1.15539
1781110800,1.1554,1.15567,1.15447,1.15525
1781114400,1.15526,1.15577,1.15482,1.15483
1781118000,1.15484,1.15488,1.15412,1.15414
1781121600,1.15414,1.15415,1.1535,1.15357
1781125200,1.15366,1.15407,1.15354,1.15358
1781128800,1.15358,1.15368,1.15284,1.15298
1781132400,1.15298,1.15378,1.15257,1.15354
1781136000,1.15355,1.1543,1.15355,1.15425
1781139600,1.15426,1.15561,1.15416,1.15541
1781143200,1.15541,1.15543,1.15462,1.1548
1781146800,1.1548,1.15492,1.15444,1.15453
1781150400,1.15454,1.15504,1.15426,1.15484
1781154000,1.15484,1.15514,1.15455,1.15474
1781157600,1.15474,1.15474,1.15404,1.15418
1781161200,1.15418,1.15556,1.15413,1.1545
1781164800,1.15448,1.15455,1.15307,1.15323
1781168400,1.15322,1.1537,1.153,1.15322
