epoch,open,high,low,close
1781146800,1.1548,1.15492,1.15476,1.15482
1781147100,1.15482,1.15484,1.15452,1.15472
1781147400,1.15472,1.15474,1.15444,1.15445
1781147700,1.15446,1.15463,1.15444,1.15456
1781148000,1.15454,1.15468,1.15447,1.15468
1781148300,1.15468,1.15474,1.15465,1.15473
1781148600,1.15472,1.15478,1.15463,1.15474
1781148900,1.15474,1.15476,1.15458,1.15468
1781149200,1.1547,1.15474,1.15462,1.15468
1781149500,1.15468,1.15472,1.15452,1.15456
1781149800,1.15455,1.15464,1.15454,1.15457
1781150100,1.15456,1.15458,1.1545,1.15453
1781150400,1.15454,1.1546,1.15428,1.15433
1781150700,1.15434,1.15446,1.15426,1.15446
1781151000,1.15446,1.15454,1.15441,1.15452
1781151300,1.15451,1.15461,1.1545,1.15456
1781151600,1.15457,1.15472,1.15454,1.15464
1781151900,1.15462,1.15473,1.1546,1.15468
1781152200,1.15468,1.15483,1.15461,1.15466
1781152500,1.15464,1.15485,1.15461,1.15478
1781152800,1.15478,1.15488,1.15476,1.15484
1781153100,1.15484,1.15504,1.15484,1.15488
1781153400,1.15488,1.15496,1.15475,1.15496
1781153700,1.15496,1.15496,1.15482,1.15484
1781154000,1.15484,1.15485,1.15467,1.15482
1781154300,1.15482,1.15501,1.15474,1.15494
1781154600,1.15494,1.15502,1.1549,1.15498
1781154900,1.15499,1.15504,1.1549,1.15502
1781155200,1.15502,1.15514,1.15502,1.15505
1781155500,1.15504,1.1551,1.15498,1.15502
1781155800,1.15502,1.15513,1.15491,1.15498
1781156100,1.15497,1.15498,1.15482,1.15488
1781156400,1.15488,1.15498,1.15488,1.15494
1781156700,1.15494,1.15495,1.15484,1.15484
1781157000,1.15484,1.15484,1.15456,1.15458
1781157300,1.15457,1.15483,1.15455,1.15474
1781157600,1.15474,1.15474,1.15432,1.15432
1781157900,1.15431,1.15444,1.15424,1.15431
1781158200,1.15432,1.15466,1.15432,1.15463
1781158500,1.15464,1.15474,1.15458,1.15466
1781158800,1.15466,1.15471,1.15437,1.15453
1781159100,1.15452,1.15454,1.15429,1.15434
1781159400,1.15434,1.15448,1.15433,1.15442
1781159700,1.15443,1.1547,1.1544,1.15448
1781160000,1.1545,1.15456,1.15428,1.15448
1781160300,1.15447,1.15458,1.15413,1.15418
1781160600,1.15418,1.15444,1.15404,1.15444
1781160900,1.15443,1.15443,1.15404,1.15418
1781161200,1.15418,1.1546,1.15413,1.1545
1781161500,1.15452,1.15474,1.15446,1.15468
1781161800,1.15472,1.15481,1.15449,1.15472
1781162100,1.15471,1.15508,1.15467,1.15502
1781162400,1.15502,1.1552,1.15491,1.15518
1781162700,1.15518,1.15556,1.15514,1.15532
1781163000,1.15532,1.15542,1.15508,1.15509
1781163300,1.15508,1.15517,1.15478,1.15478
1781163600,1.15478,1.15488,1.15467,1.15468
1781163900,1.15468,1.15474,1.15457,1.15462
1781164200,1.1546,1.15478,1.15442,1.15472
1781164500,1.15472,1.15474,1.1545,1.1545
1781164800,1.15448,1.15455,1.15421,1.15424
1781165100,1.15425,1.15449,1.15416,1.15428
1781165400,1.15428,1.15428,1.15409,1.15414
1781165700,1.15414,1.1542,1.154,1.15412
1781166000,1.15412,1.15418,1.15399,1.15417
1781166300,1.15418,1.15419,1.15386,1.15388
1781166600,1.15387,1.15394,1.15374,1.15394
1781166900,1.15394,1.15403,1.1539,1.15398
1781167200,1.15396,1.15396,1.15374,1.15381
1781167500,1.15382,1.15386,1.1535,1.15355
1781167800,1.15356,1.15367,1.15307,1.15315
1781168100,1.15316,1.15354,1.15315,1.15323
1781168400,1.15322,1.15326,1.15312,1.15323
1781168700,1.15324,1.15324,1.15301,1.15302
1781169000,1.15304,1.15344,1.153,1.15344
1781169300,1.15345,1.1537,1.15344,1.15364
1781169600,1.15362,1.15362,1.15332,1.15344
1781169900,1.15343,1.15343,1.15322,1.15324
1781170200,1.15324,1.15328,1.15312,1.15313
1781170500,1.15313,1.15326,1.15306,1.15322
1781170800,1.15323,1.1534,1.15323,1.15338
1781171100,1.15338,1.15349,1.15312,1.15348
1781171400,1.15348,1.15364,1.15335,1.15364
1781171700,1.15365,1.15373,1.15334,1.15339
1781172000,1.15338,1.15345,1.15287,1.15303
1781172300,1.15303,1.15308,1.15293,1.15307
1781172600,1.15308,1.15313,1.15255,1.15262
1781172900,1.15262,1.15264,1.15232,1.15235
1781173200,1.15236,1.15274,1.15234,1.1527
1781173500,1.15271,1.15274,1.15252,1.15252
1781173800,1.15254,1.15284,1.15248,1.15278
1781174100,1.15278,1.1529,1.15267,1.15268
1781174400,1.15268,1.15279,1.15264,1.15269
1781174700,1.1527,1.1528,1.15267,1.15272
1781175000,1.15274,1.15314,1.15273,1.15312
1781175300,1.15312,1.1532,1.15306,1.15312
1781175600,1.15314,1.15368,1.15314,1.15365
1781175900,1.15366,1.15376,1.15341,1.1537
1781176200,1.15369,1.15394,1.15365,1.15388
1781176500,1.15388,1.15394,1.15368,1.15369
1781176800,1.15372,1.15374,1.15349,1.15368
1781177100,1.15369,1.15384,1.15358,1.15377
1781177400,1.15376,1.15418,1.15373,1.15378
1781177700,1.15377,1.15399,1.15368,1.15377
1781178000,1.15378,1.1539,1.15368,1.15378
1781178300,1.15378,1.1538,1.15355,1.15378
1781178600,1.15378,1.1539,1.15362,1.15381
1781178900,1.1538,1.15391,1.15366,1.15382
1781179200,1.15384,1.15404,1.15379,1.1539
1781179500,1.1539,1.15398,1.1537,1.1537
1781179800,1.15368,1.15369,1.15328,1.1534
1781180100,1.1534,1.1539,1.15318,1.1532
1781180400,1.15319,1.15362,1.15194,1.15233
1781180700,1.15234,1.15282,1.15164,1.15279
1781181000,1.15278,1.15312,1.15196,1.15238
1781181300,1.15238,1.15272,1.15213,1.15263
1781181600,1.15262,1.15354,1.15254,1.15309
1781181900,1.15308,1.15396,1.1529,1.15372
